Herramienta,Tipo,OCR_Avanzado,Formulas_Matematicas,CAD_Vectorial,Tablas_Complejas,Multiidioma,Precio_Aprox
Adobe Acrobat Pro DC,Comercial,Excelente,Limitado,Bueno,Excelente,Excelente,$179/año
ABBYY FineReader PDF,Comercial,Excelente,Limitado,Limitado,Excelente,Excelente,$199/año
Pandoc,Open Source,No,Excelente,No,Bueno,Excelente,Gratis
Tesseract OCR,Open Source,Bueno,Limitado,No,Limitado,Excelente,Gratis
Foxit PhantomPDF,Comercial,Bueno,Limitado,Limitado,Bueno,Bueno,$149 único
PDFelement,Comercial,Bueno,Limitado,Limitado,Bueno,Bueno,$79/año
tex4ht,Open Source,No,Excelente,No,Limitado,Bueno,Gratis
Calibre,Open Source,No,Bueno,No,Limitado,Bueno,Gratis
EasyOCR,Open Source,Excelente,No,No,Bueno,Excelente,Gratis
AutoCAD,Comercial,No,No,Excelente,No,Limitado,"$1,700/año"
ONLYOFFICE,Open Source,Plugin,Limitado,No,Bueno,Bueno,Gratis
LibreOffice Draw,Open Source,No,Bueno,Bueno,Bueno,Excelente,Gratis
